created_at,text
2015-08-27 14:51:22 +0000,"I signed it in '93, '97, and '08.  Promises Made.  Promises Kept. Thanks for your leadership @GroverNorquist https://t.co/JuXiBvTT2x"
2015-08-27 13:31:56 +0000,About to go on @foxnews on America's Newsroom with Martha MacCallum
2015-08-26 19:17:49 +0000,@RDewing07 Ha! Thanks.
2015-08-26 18:55:48 +0000,@ransomleif Thank you!
2015-08-26 18:33:00 +0000,"@hillarysusans Thank you, Hillary! I'm honored."
2015-08-25 22:59:59 +0000,"The Clintons ""...too often co-author their dramas by obfuscating and tolerating conflicts of interest..."" #Indeed  https://t.co/NMwc8FMV6d"
2015-08-25 22:17:24 +0000,Listen to my message to bring back our economic growth on Federalist Radio - @FDRLST - http://t.co/6QLrZ9X7vw
2015-08-25 22:12:14 +0000,"@rodkevo Thank you, sir!"
2015-08-25 21:22:19 +0000,"@rodkevo Wishes come true, http://t.co/lX8i2PuXzJ."
2015-08-25 19:37:54 +0000,".@hereandnow Trump does not speak for republicans on immigration or any other issue. There are more views in GOP, https://t.co/w3xS3tMfDh."
2015-08-25 18:49:26 +0000,.@realDonaldTrump should be talking about issues that face America instead of calling @megynkelly names.....http://t.co/lX8i2PuXzJ
2015-08-24 21:25:10 +0000,@MainSt4Growth Thanks!
2015-08-24 21:16:11 +0000,"I don't support abuse of the system, but I also don't support repealing the 14th amendment, https://t.co/w3xS3tMfDh https://t.co/iZwAxeDpzo"
2015-08-24 14:39:22 +0000,"""My Plan for Economic Growth:  Start by simplifying our tax code"" by @Gov_Gilmore on @LinkedIn https://t.co/qfvsZlzmcW"
2015-08-23 13:27:44 +0000,"Please read my new posts on economic growth, tax reform, #immigration, https://t.co/QkYeh3R9OM. Comment/share to let me know what you think."
2015-08-22 22:52:33 +0000,"Enjoyed today's @CNN appearance talking with @PoppyHarlowCNN about #immigration and 2016 politics, http://t.co/2TSWAkeo2H. #14thamendment"
2015-08-22 17:26:43 +0000,Update on @CNN appearance - will now be on during 4pm hour this afternoon discussing #14thamendment and 2016 poltiics.
2015-08-22 15:32:03 +0000,"Great talking with you, Bryce. Keep up the good work! https://t.co/f3cKCc9WRE"
2015-08-22 15:18:06 +0000,"Grow more businesses, create more jobs, give young people more opportunities. Start by reforming our tax code, https://t.co/8ZgbSPDK0T."
2015-08-22 15:15:51 +0000,This afternoon @CNN during 3pm ET hour w/ @PoppyHarlowCNN
2015-08-22 15:03:53 +0000,Going on now with Bryce Robins listen now http://t.co/GNUgmMfoe3
2015-08-21 23:44:11 +0000,".@RATECoalition @taxfoundation I support a 15% rate on all business income, https://t.co/8ZgbSPm99l. #TaxReform #Jobs"
2015-08-21 21:26:53 +0000,"While you are waiting for 4 weeks check out my Growth Code proposal, https://t.co/8ZgbSPDK0T. https://t.co/I0P40p753v"
2015-08-21 20:12:53 +0000,"Read my plan for achieving sustainable economic growth for ALL. It starts with simplifying our tax code, https://t.co/8ZgbSPm99l."
2015-08-21 19:00:57 +0000,Gilmore moves up in Wisconsin Presidential Poll ahead of Kasich &amp; Perry...LUNCHTIME POLITICS: Wisconsin Presidential  http://t.co/G3phFxzH50
2015-08-21 18:51:54 +0000,Pls read my @Medium post on why we should not repeal 14th amendment and what we should do about illegal #immigration https://t.co/w3xS3tMfDh
2015-08-21 16:16:43 +0000,"Saturday Aug. 22 at 11am ET I'll be on  ""Opinion Nation w/ Bryce Robins"" by @K98Talk via @spreaker https://t.co/X0Pcdces5B"
2015-08-21 15:37:21 +0000,@GarrisonRadio @93wibc Thank you!
2015-08-20 17:26:47 +0000,"3 brackets for individuals:10% / 15% / 25%. 15% rate on all business income. Read more, http://t.co/CEekcQZA0V. https://t.co/aiIjKkYJ5w"
2015-08-20 16:59:48 +0000,"Exactly: ""we should not be advocating...throwing away fundamental rights because some may abuse them"" https://t.co/udfPjKMyxR"
2015-08-20 01:59:16 +0000,Going on @CNN at 10pm ET. Tune in if you can. http://t.co/JuevJwINR7
2015-08-19 16:14:26 +0000,"Watch why I think Trump &amp; Walker are wrong on #birthrightcitizenship
http://t.co/Th5kT0MCgO"
2015-08-19 15:24:17 +0000,Appoint a Special Prosecutor to investigate Hillary's flagrant misuse of classified info. Obama's DoJ can't be trusted to enforce the law.
2015-08-19 14:36:19 +0000,@snowmassdog @RitaCosby Thank you!
2015-08-19 13:51:37 +0000,"Trump's understanding of our constitutional system hasn't yet risen to the 3rd grade level. He's not just wrong, but dangerously WRONG."
2015-08-19 13:18:26 +0000,"Hillary: ""...I regret that this has become such a cause celebre."" How TIRED are we of Clinton scandals? #UnfitToLead https://t.co/DNSFrPYR09"
2015-08-19 12:52:09 +0000,I’ll be on @AmericaNewsroom with @BillHemmer at 9:20am ET this morning. #14thamendment #immigrationreform @FoxNews
2015-08-19 10:57:53 +0000,Watch @FoxNews this morning at 9:20am ET. I’ll be on with @BillHemmer discussing #14thamendment #immigrationreform
2015-08-19 02:11:48 +0000,"Turbo charge economy by simplifying tax code.Implement tax rates of 10%, 15%, 25% on individual income. On @TheLastWord now."
2015-08-19 02:08:33 +0000,"""Stunning"" that @realDonaldTrump and Scott Walker would support repealing #14thamendment. On @TheLastWord now."
2015-08-19 01:11:11 +0000,@jfmkocsis Thanks!
2015-08-19 00:45:41 +0000,Watch @TheLastWord tonight at 10pm ET. I’ll discuss #immigrationreform with @Lawrence. http://t.co/58SOgaqLJL
2015-08-18 23:36:24 +0000,"Tomorrow Morning 9:20am ET @FoxNews on w/ Bill Hemmer. Host of America's Newsroom, 9am-11am ET Monday-Friday. Discussing #14thamendment"
2015-08-18 21:27:12 +0000,Tonight @TheLastWord discussing immigration issues &amp; my campaign for the GOP nomination.10pmET. @Lawrence on MSNBC.
2015-08-18 19:38:06 +0000,"Trump, Paul, Walker, others who support ending birthright citizenship are wrong! https://t.co/1ZDlnE5cEA"
2015-08-18 18:54:36 +0000,"Trump, Walker wrong on repeal of #14thamendment. Every person born in this country has a right to citizenship. #ImmigrationReform"
2015-08-18 18:32:01 +0000,"Illegal #immigration is national security issue that requires tough action, but repealing #14thamendment gives govt power it shouldn't have."
2015-08-18 17:55:15 +0000,"Repealing #14thamendment would set our nation back. It's a dangerous step that undermines American liberty, https://t.co/0z4c7NRkc4"
2015-08-18 17:47:03 +0000,Every person born in this country has a right to citizenship. #14thamendment
2015-08-17 16:19:20 +0000,"America needs a barrier to help us secure the border, but it's silly to ask Mexico pay for it. #immigrationreform"
2015-08-17 16:17:06 +0000,"How does Donald Trump deport the 12-20 million illegal aliens in this country? He doesn't say, because he doesn't know if it's even possible"
2015-08-14 15:35:55 +0000,Wasn't me. Good idea though. #icecream  https://t.co/kfqQgkxJcI
2015-08-13 21:01:00 +0000,We need to reject the #IranDeal and support our allies.
2015-08-13 19:51:00 +0000,"Americans are most concerned about the economy. See my plan for economic growth, http://t.co/CEekcQZA0V. #CutTaxes http://t.co/2BCDOqcN1b"
2015-08-12 19:58:47 +0000,"@AmeliaHammy Here you go, http://t.co/HTviBCwDRu. Thanks for your interest."
2015-08-12 18:49:09 +0000,@jfmkocsis I like it!
2015-08-12 18:47:02 +0000,"We've got some ground to make up, but we can do it. http://t.co/0v1xqDWX5H. @FoxNews"
2015-08-12 18:23:18 +0000,http://t.co/sxlYifiXZa
2015-08-12 00:39:35 +0000,"@PrevetteRyan Here it is, Ryan, https://t.co/JydYvJpdNl. Thanks for your interest."
2015-08-11 21:27:04 +0000,@16ElectionNews Understood. Thank you.
2015-08-11 21:25:21 +0000,"Let's #simplify our tax code! 3 brackets for all Americans: 10%, 15%, 25%. Cut business taxes to 15%. Eliminate death tax. RT if you agree."
2015-08-11 17:45:07 +0000,I announced my candidacy 13 days ago. Been in contact with @CNN and anticipate meeting the conditions to qualify for Reagan Library debate.
2015-08-11 02:09:25 +0000,@ObsoleteDogma The economic models were based on 2011 data. The site has been corrected to reflect that. Thank you for pointing this out.
2015-08-09 22:55:07 +0000,We need to reject #IranDeal. Stop drawing invisible lines in the desert. Support our traditional allies.
2015-08-09 22:52:24 +0000,"Specific proposals: cut taxes for all Americans, have three tax brackets, reduce business taxes to 15%, eliminate death tax. #Simplify"
2015-08-09 14:53:09 +0000,"Grow the economy. Simplify the tax code for all, http://t.co/CEekcQZA0V. #GrowthCode #RealIssues http://t.co/CKUmIkeK8u"
2015-08-08 19:06:55 +0000,"Let's discuss growing our economy and making our country safer. Start with lowering #taxes for individuals, businesses.#StopTheSideshow"
2015-08-08 18:03:16 +0000,.@megynkelly should be given the great respect due her profession and all women. Trump's comments are just plain wrong.
2015-08-08 13:47:36 +0000,".@DavidIRamadan So important to help families prepare for the school year. More 2015 state sales tax holidays, http://t.co/nduoXyJD5e."
2015-08-08 12:36:23 +0000,"We must simplify the tax code. I propose 15% rate on all business income, regardless of the type of entity. #GrowthCode #Taxes"
