created_at,text
2015-09-10 21:10:00 +0000,Gov. @JohnKasich will be on the @HughHewittShow with @hughhewitt at about 6:30PM EDT - Tune in! http://t.co/UpGYVqbUgN
2015-09-10 18:14:53 +0000,Tune in tonight! Gov. @JohnKasich will be on @FoxNews w/ @seanhannity at about 10:30PM EDT http://t.co/mieOr8kIGU
2015-09-10 13:08:22 +0000,Excited to announce that N.H. GOP icon Ruth Griffin is endorsing @JohnKasich! #FITN #NHPolitics http://t.co/ZqdeCNvlhA
2015-09-09 23:50:32 +0000,Join the team today! http://t.co/dy8KnZ122T #Kasich4Us http://t.co/ZrlOv7xp1s
2015-09-09 21:20:01 +0000,Thanks for your support! https://t.co/7jchWEMTh5
2015-09-09 12:58:42 +0000,"Gov. Kasich was in Brookline, NH for a town hall last evening with voters! Great questions! http://t.co/dy8KnZ122T http://t.co/X4wmBkeBL2"
2015-09-08 20:04:50 +0000,"Great recap video from the Milford Labor Day Parade, Salem GOP Picnic &amp; BBQ with @SenScottBrown #Kasich4Us
https://t.co/66gV4l2L5t"
2015-09-08 18:03:36 +0000,"Gov @JohnKasich will be on @FoxNews ""Your World"" with @TeamCavuto at 4:45PM EDT - Tune in! #Kasich4Us"
2015-09-08 13:01:54 +0000,@SenScottBrown Thanks for hosting! We had a great time.
2015-09-07 23:41:42 +0000,Shout out to #Buckeye Nation from New Hampshire. O-H...  -John http://t.co/oK5NsxVeRF
2015-09-07 18:41:26 +0000,Gov. @JohnKasich in N.H. today for the Milford Labor Day Parade #FITN #NHPolitics #Kasich4Us http://t.co/wEmEYGcdlt
2015-09-07 16:00:53 +0000,Ohio workers are driving our jobs comeback. Happy Labor Day! -John https://t.co/ZIvIkVq3mh
2015-09-07 15:27:38 +0000,"Americans create jobs, not politicians. Let's come together &amp; rebuild our nation. -John
https://t.co/sm9Zor5xlE"
2015-09-06 19:37:06 +0000,Thanks for your support!! #Kasich4Us https://t.co/JwsL7XPpmC
