created_at,text
2015-09-03 13:15:42 +0000,"Life on the road can be a blast, especially w/ a rockin' #CampaignPlaylist! Great way to start the morning in SC. http://t.co/7rF6nEIw5d"
2015-09-02 21:28:36 +0000,No man - and certainly no unelected lawyer - has the right to redefine the laws of nature or of nature's God.
2015-09-02 21:27:24 +0000,I stand w/ Kim Davis &amp; Americans of faith under attack by Washington elites who have nothing but disdain for our faith &amp; the Constitution.
2015-09-02 21:11:44 +0000,Congress made no law allowing same sex marriage. Kim doesn't have Constitutional authority to issue marriage license to homosexual couples.
2015-09-02 21:00:21 +0000,I spoke with Kim Davis to offer my prayer &amp; support. She is showing more courage &amp; humility than most federal office holders in Washington.
2015-09-02 20:57:21 +0000,@garyawalter thank you!
2015-09-02 20:01:08 +0000,"Under this deal, a genocidal regime that chants 'Death to America' will be allowed to 'self-inspect' its own nuclear facilities. #IranDeal"
2015-09-02 19:49:04 +0000,@RhondaWatkGwyn thank you!
2015-09-02 19:48:08 +0000,@Steve_Girschle Thanks for standing with our team!
2015-09-02 19:27:44 +0000,Weakness from the Obama Admin on Iran is expected. Why Congress is allowing Obama to cave to the Ayatollahs is another matter. #IranDeal
2015-09-02 18:52:28 +0000,Iran has killed hundreds of American soldiers. It shouldn't take a mushroom cloud for the American people to wake-up! #IranDeal
2015-09-02 18:30:16 +0000,Never in the history of international agreements have Americans agreed to something so reckless as military 'self-inspections.' #IranDeal
2015-09-02 18:07:53 +0000,Iranian negotiators have squeezed every last concession from this Admin &amp; the Free World has absolutely nothing to show for it. #IranDeal
2015-09-02 18:05:48 +0000,What is the purpose of Senators &amp; Congressmen if our POTUS can pass an international agreement opposed by 60% of Congress? #IranDeal
2015-09-02 16:49:41 +0000,"Another stop in South Carolina, another awesome crowd of great people. Thanks, Hilton Head! #ImWithHuck http://t.co/PD5heEmVFq"
2015-09-02 14:15:38 +0000,"So happy to be back in South Carolina today! Starting early in Beaufort then to Hilton Head, Bluffton &amp; finishing up in Walterboro. #coastal"
2015-09-02 13:24:17 +0000,"Starting a full day of campaigning in beautiful Beaufort, SC. #Huckabee2016 State Director @hopewalker riding shotgun http://t.co/pSx1WpWarA"
2015-09-02 13:15:09 +0000,"Great first stop in Beaufort, SC this morning! #ImWithHuck http://t.co/PQ9mGPWM8E"
2015-09-02 01:30:09 +0000,Hillary Clinton truly believes the law does not apply to her. #HillaryEmail #ImWithHuck
2015-09-02 01:08:32 +0000,#HopeToHigherGround #ImWithHuck http://t.co/TZG2r9hYuU
2015-09-01 19:01:30 +0000,Hillary is hallucinating if she thinks the American people don’t deserve answers &amp; flat out wrong if she thinks we’re not going to get them.
2015-09-01 18:45:35 +0000,Hillary unloaded a dump truck full of new emails &amp; we know one thing for certain: Hillary Clinton believes the law does not apply to her.
2015-09-01 16:00:47 +0000,"Headed to second stop at ""Johnnie B’s” in Wapello, IA. #campaignselfies http://t.co/dgudULEGFk"
2015-09-01 15:32:11 +0000,"Thank you, @SenatorRounds. #ImWithHuck http://t.co/KCb8sMXPhn"
2015-09-01 15:03:59 +0000,"Awesome first event in Washington, #Iowa. Real convo about real issues: #ReligiousLiberty #IranDeal #PlannedParenthood #MaximumWage"
2015-09-01 13:57:18 +0000,"Thankful to meet Joanne @ 1st stop in Washington, #Iowa. Humbled to hear she walked 5 blocks &amp; arrived 1 hour early. http://t.co/u3FDlPSQKA"
2015-09-01 13:26:22 +0000,"Finished strong in Williamsburg, #Iowa last night. First stop today is Washington, IA...not DC. Thankfully! http://t.co/zLQE8Zrczw"
2015-08-31 23:01:12 +0000,Sick of Washington establishment. #MyTypeIn4Words
2015-08-31 22:35:02 +0000,"Supports Fair-Tax, despises IRS. #MyTypeIn4Words Sign my Fair-Tax petition here --&gt; http://t.co/YjGdDarfHI"
2015-08-31 21:50:36 +0000,"Supports our ally Israel. #MyTypeIn4Words If you are a supporter of Israel, click here --&gt; http://t.co/BMCVuwhTLa"
2015-08-31 21:30:19 +0000,Committed defender of Life #MyTypein4Words
2015-08-31 18:16:47 +0000,Govt can build a massive sea wall to keep out waves from the ocean but we can't build a wall to keep out waves of illegals? #NoExcuses
2015-08-31 18:15:13 +0000,New Orleans sea wall has segments with more concrete than Hoover Dam &amp; 8x steel of Eiffel Tower. We CAN build a wall at Southern border.
2015-08-31 12:24:13 +0000,"It's an honor our 1st stop today is VFW Post 2537 in Tipton, IA. Janet &amp; I are meeting so many who want to go from hope to higher ground."
2015-08-31 12:15:20 +0000,"Janet &amp; I are excited to be back in #Iowa today!!! Early start &amp; hitting several stops: Tipton, Vinton, Toledo &amp; Williamsburg. #Huckabee2016"
2015-08-28 23:59:41 +0000,I will be on @seanhannity w/ guest host @TuckerCarlson tonight at 10 pm ET / 9 pm CT. Tune in! #ImWithHuck
2015-08-28 20:32:43 +0000,"""Mike said, 'People first, paperwork later. Don't treat these people like boxes.'"" - @JanetHuckabee ⬇️ #Katrina10
https://t.co/6YCh7vmZSA"
2015-08-28 17:37:49 +0000,We had way too much fun at the #Iowa Rock 'n' Roll Museum yesterday 🎤 #ImWithHuck https://t.co/9qdgPFfuA8
2015-08-27 23:49:21 +0000,(3/3) Let's use this week's economic scare as wake-up. Time to cast establish thinking aside &amp; get tough w/ #China. http://t.co/x7Uq5XAVx2
2015-08-27 23:48:21 +0000,(2/3) 1) Rebuild the military 2) Stand unapologetically for Chinese democracy 3) Push back against Chinese cheating
2015-08-27 23:47:56 +0000,(1/3) I'll overhaul our #China strategy in three main respects...
2015-08-27 23:16:49 +0000,"Read my op-ed: ""Our Political Class Failed On #China, Time To Get Tough"" --&gt; http://t.co/x7Uq5XAVx2"
2015-08-27 16:17:51 +0000,Amazing day campaigning in NW #Iowa. Started in Spencer @ Sisters Main Street Cafe. Thanks for the window treatment! http://t.co/1TX4VW4IVB
2015-08-27 14:44:23 +0000,"ICYMI @IowaGOPer exclusive: ""Pastor Terry Amann throws his support behind Huckabee"" --&gt; http://t.co/0CtO68k7gC #ImWithHuck #Iowa"
2015-08-27 13:36:55 +0000,".@MikeAllen in @Politico: ""Mike Huckabee lands Aaron Trost as #Iowa director"" #ImWithHuck http://t.co/n3L00ECg0S"
2015-08-27 03:58:25 +0000,"Great time in #Iowa so far this week. Stops in Waterloo, Elkader, West Union, Decorah, &amp; Waukon. #ImWithHuck http://t.co/VTcBlGzb97"
2015-08-26 19:23:05 +0000,".@BreitbartNews: ""Poll: Mike Huckabee Takes Second To Donald Trump"" --&gt; http://t.co/iWclUn9Gzk #ImWithHuck http://t.co/7adqTtLZ68"
2015-08-26 14:25:10 +0000,Janet &amp; I are heartbroken by the deaths of @WDBJ7 journalists Alison Parker &amp; Adam Ward. Praying for everyone affected by this tragedy.
2015-08-26 03:13:37 +0000,"""Huckabee criticizes China, trade deals after market drop"" #ImWithHuck http://t.co/rRQgFWSoi1"
2015-08-25 02:55:06 +0000,".@TommyPopeSC Thanks, Tommy! Appreciate the hard work you do for the people of SC &amp; I look forward to seeing you soon as well."
2015-08-24 17:20:34 +0000,"(5/5) The #FairTax will bring trillions of $ in offshore investment &amp; manufacturing back to the U.S., growing our econ &amp; creating good jobs."
2015-08-24 17:20:15 +0000,"(4/5) As President, I'll implement the #FairTax to let workers keep their entire paycheck."
2015-08-24 17:20:06 +0000,"(3/5) It's time to build America's economy, not China's or Mexico's, &amp; quit importing cheap labor &amp; exporting jobs overseas."
2015-08-24 17:19:57 +0000,"(2/5) Sadly, the chickens are now coming home to roost for the Obama administration and its failed economic policies."
2015-08-24 17:19:52 +0000,(1/5) You don't build a strong economy by empowering Washington-Wall Street elites at the expense of American workers on Main Street.
2015-08-22 02:59:47 +0000,God bless these heroes --&gt; http://t.co/Ap1rs4s8Hr #SemperFi
2015-08-21 15:53:34 +0000,Auditioned for @NightRanger...still waiting for a call back! http://t.co/ykvSAikM2V
2015-08-21 13:09:36 +0000,.@HillaryClinton Have you seen the #PlannedParenthood videos? They're called babies. #ProLife
2015-08-21 01:38:44 +0000,.@Netanyahu is a Churchill in a world full of Chamberlains. Sign my thank you note to him --&gt; http://t.co/zHQ8DtpvSg http://t.co/ViI8ZVLDOL
2015-08-21 00:38:46 +0000,Back from Israel &amp; in NYC. Snapped a quick selfie during my @Uber ride. Will be on @MegynKelly @ 9 PM ET on @FoxNews. http://t.co/sRc8iZj8ED
2015-08-20 19:40:58 +0000,"My op-ed in the @Jerusalem_Post: ""Time for regime change in Iran"" --&gt; http://t.co/cRoUKqzP1h #IranDeal #ImWithHuck"
2015-08-20 14:52:56 +0000,Don't miss @JanetHuckabee on @Greta Talk about how we first met! --&gt; http://t.co/aY0CsM7b7V #ImWithHuck
2015-08-19 21:35:12 +0000,"Most people I've met in #Israel ask the same thing, 'Why does Obama trust Iran and its evil Ayatollahs?"" #IranDeal"
2015-08-19 21:30:09 +0000,The #IranDeal will unleash a new wave of deadly Iranian-backed terrorism throughout the world. It must be stopped.
2015-08-19 18:30:45 +0000,The #IranDeal poses a direct threat to Israel &amp; will trigger a nuclear arms race across the Middle East.
2015-08-19 11:44:14 +0000,It was an honor to meet with my friend @netanyahu while in Jerusalem.  May God bless him and our ally Israel. http://t.co/JsEIWX92dq
2015-08-19 11:29:48 +0000,I had a good meeting with @netanyahu in Jerusalem.  He is a Churchill in a world full of Chamberlains.
2015-08-18 21:26:18 +0000,"Update from #Israel ⬇️
https://t.co/P8iPJ0hCxi"
2015-08-18 20:57:03 +0000,".@IowaGOPer: ""Huckabee unveils impressive Iowa team"" http://t.co/jX2HpellCV #ImWithHuck"
2015-08-18 18:11:11 +0000,I'm in #Israel discussing the horrible &amp; dangerous #IranDeal. I commend @SenatorMenendez for his opposition to this destructive agreement.
2015-08-18 13:01:19 +0000,In Israel for meetings about the disastrous #IranDeal...&amp; look who I ran into! Great to see my friend @williebosshog. http://t.co/p0oleTxMmc
2015-08-18 02:35:13 +0000,".@WashTimes: ""On the move: Mike Huckabee is off to Israel, the Iran deal on his mind"" http://t.co/WPeXNy0f8l"
2015-08-17 23:00:35 +0000,".@DMRegister ""Huckabee announces #Iowa leadership team"" --&gt; http://t.co/21eVjawiwu #ImWithHuck"
2015-08-17 16:37:44 +0000,".@BreitbartNews ""Huckabee To Travel To Israel As He Rolls Out Campaign Infrastructure In Early States"" http://t.co/ZJFdPxGpPQ #ImWithHuck"
2015-08-16 19:34:55 +0000,"Grassroots momentum! ""Team Huck"" will power us through the key early states of IA &amp; SC --&gt; http://t.co/WXG3sx3dfl http://t.co/yvwJlQfXd7"
2015-08-16 19:29:46 +0000,Grassroots momentum! Learn more about Team Huck South Carolina --&gt; http://t.co/WXG3sx3dfl #ImWithHuck http://t.co/g1PKcs3XD8
2015-08-16 19:24:11 +0000,Grassroots momentum! Learn more about Team Huck Iowa --&gt; http://t.co/WXG3sx3dfl #ImWithHuck http://t.co/ncPB61HcJM
